1.000 0.010
11 64  2.983314 -1.544770 
11 65  3.053461 -1.376104 
11 66  3.114279 -1.201509 
11 67  3.165210 -1.021212 
11 68  3.205657 -0.835460 
11 69  3.234971 -0.644517 
11 70  3.252439 -0.448673 
11 71  3.257278 -0.248245 
11 72  3.248611 -0.043586 
11 73  3.225449 0.164909 
11 74  3.186659 0.376794 
11 75  3.130927 0.591555 
11 76  3.056698 0.808590 
11 77  2.962094 1.027185 
11 78  2.844788 1.246468 
11 79  2.701807 1.465344 
11 80  2.529200 1.682389 
11 81  2.321439 1.895651 
11 82  2.070229 2.102273 
11 83  1.761772 2.297633 
11 84  1.368937 2.472902 
11 85  0.816543 2.604428 
12 15  -2.442671 1.345433 
12 16  -2.752827 0.862317 
12 17  -2.917444 0.457752 
12 18  -3.006498 0.097374 
12 19  -3.045775 -0.231180 
12 20  -3.048549 -0.534135 
12 21  -3.022877 -0.815193 
12 22  -2.974171 -1.076792 
12 23  -2.906324 -1.320653 
12 24  -2.822283 -1.548058 
12 25  -2.724369 -1.760001 
12 26  -2.614460 -1.957274 
