1.000 0.010
6 65  1.019993 -1.410452 
6 66  1.044168 -1.394337 
6 67  1.068228 -1.377823 
6 68  1.092176 -1.360904 
6 69  1.116012 -1.343574 
6 70  1.139737 -1.325826 
6 71  1.163351 -1.307652 
6 72  1.186855 -1.289046 
6 73  1.210250 -1.269999 
6 74  1.233534 -1.250501 
6 75  1.256709 -1.230545 
6 76  1.279775 -1.210120 
6 77  1.302732 -1.189216 
6 78  1.325578 -1.167821 
6 79  1.348315 -1.145925 
6 80  1.370941 -1.123514 
6 81  1.393456 -1.100575 
6 82  1.415860 -1.077095 
6 83  1.438151 -1.053059 
6 84  1.460328 -1.028450 
6 85  1.482389 -1.003252 
6 86  1.504335 -0.977446 
6 87  1.526162 -0.951014 
6 88  1.547870 -0.923935 
6 89  1.569455 -0.896188 
6 90  1.590916 -0.867748 
6 91  1.612249 -0.838591 
6 92  1.633453 -0.808691 
6 93  1.654523 -0.778019 
6 94  1.675457 -0.746543 
6 95  1.696249 -0.714232 
6 96  1.716896 -0.681049 
6 97  1.737392 -0.646956 
6 98  1.757732 -0.611911 
6 99  1.777911 -0.575870 
6 100  1.797920 -0.538784 
7 0  -0.935788 -1.658687 
7 1  -0.895399 -1.671579 
7 2  -0.855609 -1.683607 
7 3  -0.816389 -1.694809 
7 4  -0.777713 -1.705221 
7 5  -0.739556 -1.714876 
7 6  -0.701896 -1.723804 
7 7  -0.664712 -1.732034 
7 8  -0.627983 -1.739592 
7 9  -0.591692 -1.746503 
7 10  -0.555820 -1.752789 
7 11  -0.520353 -1.758470 
7 12  -0.485274 -1.763567 
7 13  -0.450570 -1.768098 
7 14  -0.416226 -1.772080 
7 15  -0.382230 -1.775529 
7 16  -0.348570 -1.778459 
7 17  -0.315235 -1.780884 
7 18  -0.282214 -1.782817 
7 19  -0.249497 -1.784271 
7 20  -0.217073 -1.785256 
7 21  -0.184935 -1.785783 
7 22  -0.153072 -1.785862 
7 23  -0.121478 -1.785502 
7 24  -0.090144 -1.784712 
7 25  -0.059062 -1.783499 
7 26  -0.028226 -1.781872 
7 27  0.002372 -1.779837 
7 28  0.032737 -1.777401 
7 29  0.062877 -1.774569 
7 30  0.092796 -1.771348 
7 31  0.122501 -1.767742 
7 32  0.151998 -1.763757 
7 33  0.181290 -1.759396 
7 34  0.210384 -1.754664 
7 35  0.239284 -1.749565 
7 36  0.267995 -1.744101 
7 37  0.296520 -1.738277 
7 38  0.324865 -1.732093 
7 39  0.353033 -1.725554 
7 40  0.381028 -1.718661 
7 41  0.408854 -1.711416 
7 42  0.436514 -1.703820 
7 43  0.464012 -1.695875 
7 44  0.491351 -1.687582 
7 45  0.518534 -1.678942 
7 46  0.545564 -1.669954 
7 47  0.572444 -1.660619 
7 48  0.599177 -1.650938 
7 49  0.625766 -1.640909 
7 50  0.652213 -1.630533 
7 51  0.678520 -1.619807 
7 52  0.704691 -1.608732 
7 53  0.730726 -1.597307 
7 54  0.756629 -1.585528 
7 55  0.782401 -1.573395 
7 56  0.808044 -1.560905 
7 57  0.833561 -1.548056 
7 58  0.858952 -1.534845 
7 59  0.884220 -1.521269 
7 60  0.909367 -1.507326 
7 61  0.934393 -1.493010 
7 62  0.959300 -1.478319 
7 63  0.984090 -1.463249 
7 64  1.008763 -1.447794 
7 65  1.033322 -1.431950 
7 66  1.057766 -1.415712 
7 67  1.082098 -1.399073 
7 68  1.106317 -1.382029 
7 69  1.130425 -1.364573 
7 70  1.154422 -1.346697 
7 71  1.178309 -1.328396 
7 72  1.202087 -1.309660 
7 73  1.225756 -1.290483 
7 74  1.249317 -1.270855 
7 75  1.272769 -1.250767 
7 76  1.296112 -1.230209 
7 77  1.319347 -1.209172 
7 78  1.342474 -1.187643 
7 79  1.365492 -1.165612 
7 80  1.388402 -1.143066 
7 81  1.411201 -1.119991 
7 82  1.433891 -1.096375 
7 83  1.456470 -1.072202 
7 84  1.478936 -1.047456 
7 85  1.501290 -1.022121 
7 86  1.523529 -0.996178 
7 87  1.545653 -0.969609 
7 88  1.567659 -0.942394 
7 89  1.589545 -0.914511 
7 90  1.611310 -0.885936 
7 91  1.632951 -0.856646 
7 92  1.654465 -0.826613 
7 93  1.675849 -0.795810 
7 94  1.697100 -0.764206 
7 95  1.718213 -0.731768 
7 96  1.739186 -0.698461 
7 97  1.760012 -0.664249 
7 98  1.780687 -0.629089 
7 99  1.801206 -0.592937 
7 100  1.821561 -0.555747 
8 0  -0.941335 -1.687488 
8 1  -0.900616 -1.700223 
8 2  -0.860496 -1.712100 
8 3  -0.820947 -1.723158 
8 4  -0.781943 -1.733431 
8 5  -0.743460 -1.742953 
8 6  -0.705474 -1.751754 
8 7  -0.667965 -1.759860 
8 8  -0.630914 -1.767299 
8 9  -0.594301 -1.774093 
8 10  -0.558110 -1.780265 
8 11  -0.522324 -1.785836 
8 12  -0.486928 -1.790825 
8 13  -0.451908 -1.795250 
8 14  -0.417251 -1.799127 
8 15  -0.382943 -1.802473 
8 16  -0.348973 -1.805301 
8 17  -0.315329 -1.807626 
8 18  -0.282001 -1.809460 
8 19  -0.248978 -1.810815 
8 20  -0.216250 -1.811702 
8 21  -0.183810 -1.812132 
8 22  -0.151646 -1.812114 
8 23  -0.119753 -1.811658 
8 24  -0.088121 -1.810772 
8 25  -0.056742 -1.809464 
8 26  -0.025611 -1.807741 
8 27  0.005280 -1.805610 
8 28  0.035938 -1.803078 
8 29  0.066369 -1.800151 
8 30  0.096578 -1.796833 
8 31  0.126572 -1.793131 
8 32  0.156356 -1.789049 
8 33  0.185935 -1.784591 
8 34  0.215314 -1.779762 
8 35  0.244498 -1.774565 
8 36  0.273492 -1.769002 
8 37  0.302300 -1.763079 
8 38  0.330926 -1.756796 
8 39  0.359374 -1.750157 
8 40  0.387649 -1.743163 
8 41  0.415754 -1.735816 
8 42  0.443692 -1.728118 
8 43  0.471467 -1.720070 
8 44  0.499083 -1.711673 
8 45  0.526542 -1.702928 
8 46  0.553847 -1.693835 
8 47  0.581003 -1.684394 
8 48  0.608010 -1.674605 
