1.000 0.010
6 21  -0.319320 -0.992616 
6 22  -0.292597 -0.995483 
6 23  -0.266176 -0.997849 
6 24  -0.240046 -0.999727 
6 25  -0.214196 -1.001131 
6 26  -0.188616 -1.002072 
6 27  -0.163298 -1.002564 
6 28  -0.138231 -1.002616 
6 29  -0.113408 -1.002237 
6 30  -0.088822 -1.001438 
6 31  -0.064464 -1.000225 
6 32  -0.040328 -0.998608 
6 33  -0.016407 -0.996592 
6 34  0.007305 -0.994185 
6 35  0.030814 -0.991391 
6 36  0.054125 -0.988217 
6 37  0.077245 -0.984668 
6 38  0.100177 -0.980746 
6 39  0.122927 -0.976458 
6 40  0.145499 -0.971805 
6 41  0.167897 -0.966791 
6 42  0.190126 -0.961418 
6 43  0.212189 -0.955689 
6 44  0.234091 -0.949606 
6 45  0.255834 -0.943169 
6 46  0.277422 -0.936380 
6 47  0.298859 -0.929240 
6 48  0.320146 -0.921748 
6 49  0.341287 -0.913906 
6 50  0.362284 -0.905711 
6 51  0.383141 -0.897164 
6 52  0.403859 -0.888263 
6 53  0.424440 -0.879007 
6 54  0.444887 -0.869394 
6 55  0.465202 -0.859422 
6 56  0.485386 -0.849088 
6 57  0.505442 -0.838389 
6 58  0.525370 -0.827321 
6 59  0.545172 -0.815881 
6 60  0.564849 -0.804065 
6 61  0.584403 -0.791867 
6 62  0.603835 -0.779283 
6 63  0.623145 -0.766307 
6 64  0.642335 -0.752933 
6 65  0.661404 -0.739155 
6 66  0.680355 -0.724965 
6 67  0.699186 -0.710355 
6 68  0.717898 -0.695318 
6 69  0.736491 -0.679843 
6 70  0.754966 -0.663923 
6 71  0.773321 -0.647545 
6 72  0.791557 -0.630700 
6 73  0.809673 -0.613376 
6 74  0.827669 -0.595558 
6 75  0.845542 -0.577235 
6 76  0.863293 -0.558391 
6 77  0.880920 -0.539010 
6 78  0.898421 -0.519076 
6 79  0.915794 -0.498570 
6 80  0.933038 -0.477473 
6 81  0.950149 -0.455763 
6 82  0.967126 -0.433418 
6 83  0.983964 -0.410414 
6 84  1.000662 -0.386723 
6 85  1.017213 -0.362318 
6 86  1.033615 -0.337167 
6 87  1.049863 -0.311237 
6 88  1.065951 -0.284491 
6 89  1.081872 -0.256890 
6 90  1.097621 -0.228390 
6 91  1.113190 -0.198945 
6 92  1.128570 -0.168501 
6 93  1.143753 -0.137002 
6 94  1.158727 -0.104386 
6 95  1.173480 -0.070583 
6 96  1.188000 -0.035516 
6 97  1.202272 0.000899 
6 98  1.216279 0.038759 
6 99  1.230002 0.078169 
6 100  1.243419 0.119250 
7 0  -0.974930 -0.817196 
7 1  -0.937137 -0.836704 
7 2  -0.900229 -0.854875 
7 3  -0.864145 -0.871802 
7 4  -0.828830 -0.887566 
7 5  -0.794234 -0.902240 
7 6  -0.760314 -0.915890 
7 7  -0.727028 -0.928575 
7 8  -0.694341 -0.940350 
7 9  -0.662218 -0.951262 
7 10  -0.630630 -0.961355 
7 11  -0.599548 -0.970670 
7 12  -0.568947 -0.979244 
7 13  -0.538803 -0.987109 
7 14  -0.509094 -0.994297 
7 15  -0.479801 -1.000835 
7 16  -0.450903 -1.006750 
7 17  -0.422385 -1.012066 
7 18  -0.394230 -1.016804 
7 19  -0.366422 -1.020984 
7 20  -0.338949 -1.024626 
7 21  -0.311796 -1.027747 
7 22  -0.284951 -1.030362 
7 23  -0.258403 -1.032487 
7 24  -0.232140 -1.034135 
7 25  -0.206154 -1.035319 
7 26  -0.180434 -1.036051 
7 27  -0.154971 -1.036341 
7 28  -0.129756 -1.036199 
7 29  -0.104783 -1.035636 
7 30  -0.080042 -1.034658 
7 31  -0.055527 -1.033275 
7 32  -0.031231 -1.031493 
7 33  -0.007148 -1.029320 
7 34  0.016729 -1.026760 
7 35  0.040405 -1.023821 
7 36  0.063885 -1.020506 
7 37  0.087176 -1.016821 
7 38  0.110281 -1.012769 
7 39  0.133206 -1.008355 
7 40  0.155956 -1.003581 
7 41  0.178533 -0.998451 
7 42  0.200943 -0.992967 
7 43  0.223189 -0.987130 
7 44  0.245274 -0.980943 
7 45  0.267203 -0.974407 
7 46  0.288978 -0.967523 
7 47  0.310603 -0.960292 
7 48  0.332081 -0.952713 
7 49  0.353414 -0.944786 
7 50  0.374605 -0.936512 
7 51  0.395656 -0.927889 
7 52  0.416571 -0.918917 
7 53  0.437350 -0.909593 
7 54  0.457997 -0.899916 
7 55  0.478513 -0.889883 
7 56  0.498900 -0.879493 
7 57  0.519160 -0.868742 
7 58  0.539294 -0.857626 
7 59  0.559305 -0.846143 
7 60  0.579192 -0.834287 
7 61  0.598958 -0.822055 
7 62  0.618603 -0.809441 
7 63  0.638128 -0.796440 
7 64  0.657536 -0.783046 
7 65  0.676825 -0.769253 
7 66  0.695997 -0.755053 
7 67  0.715052 -0.740440 
7 68  0.733990 -0.725405 
7 69  0.752813 -0.709939 
7 70  0.771519 -0.694034 
7 71  0.790109 -0.677679 
7 72  0.808582 -0.660864 
7 73  0.826938 -0.643577 
7 74  0.845177 -0.625807 
7 75  0.863297 -0.607539 
7 76  0.881299 -0.588760 
7 77  0.899179 -0.569455 
7 78  0.916938 -0.549607 
7 79  0.934574 -0.529199 
7 80  0.952084 -0.508213 
7 81  0.969467 -0.486628 
7 82  0.986721 -0.464423 
7 83  1.003842 -0.441575 
7 84  1.020827 -0.418058 
7 85  1.037673 -0.393846 
7 86  1.054376 -0.368908 
7 87  1.070932 -0.343215 
7 88  1.087337 -0.316730 
7 89  1.103583 -0.289418 
7 90  1.119667 -0.261237 
7 91  1.135580 -0.232143 
7 92  1.151316 -0.202087 
7 93  1.166866 -0.171018 
7 94  1.182220 -0.138876 
7 95  1.197369 -0.105598 
7 96  1.212301 -0.071113 
7 97  1.227003 -0.035343 
7 98  1.241459 0.001800 
7 99  1.255654 0.040413 
7 100  1.269567 0.080603 
8 0  -0.968134 -0.862051 
8 1  -0.930533 -0.880673 
8 2  -0.893778 -0.898031 
8 3  -0.857812 -0.914209 
8 4  -0.822585 -0.929281 
8 5  -0.788051 -0.943314 
8 6  -0.754168 -0.956370 
8 7  -0.720899 -0.968501 
8 8  -0.688209 -0.979759 
8 9  -0.656067 -0.990188 
8 10  -0.624445 -0.999828 
8 11  -0.593315 -1.008718 
8 12  -0.562654 -1.016890 
8 13  -0.532438 -1.024378 
8 14  -0.502648 -1.031209 
8 15  -0.473264 -1.037411 
8 16  -0.444268 -1.043006 
8 17  -0.415644 -1.048018 
8 18  -0.387375 -1.052468 
8 19  -0.359448 -1.056375 
8 20  -0.331849 -1.059755 
8 21  -0.304565 -1.062627 
8 22  -0.277584 -1.065004 
8 23  -0.250896 -1.066902 
8 24  -0.224490 -1.068332 
8 25  -0.198355 -1.069307 
8 26  -0.172483 -1.069839 
8 27  -0.146865 -1.069936 
8 28  -0.121492 -1.069610 
8 29  -0.096357 -1.068869 
