1.000 0.010
7 22  -2.033559 -0.057541 
7 23  -1.870657 -0.248171 
7 24  -1.725980 -0.400865 
7 25  -1.594522 -0.526211 
7 26  -1.473117 -0.630879 
7 27  -1.359639 -0.719320 
7 28  -1.252593 -0.794650 
7 29  -1.150889 -0.859125 
7 30  -1.053707 -0.914431 
7 31  -0.960414 -0.961859 
7 32  -0.870514 -1.002414 
7 33  -0.783610 -1.036897 
7 34  -0.699377 -1.065950 
7 35  -0.617550 -1.090098 
7 36  -0.537907 -1.109773 
7 37  -0.460260 -1.125331 
7 38  -0.384453 -1.137073 
7 39  -0.310351 -1.145247 
7 40  -0.237837 -1.150065 
7 41  -0.166813 -1.151704 
7 42  -0.097191 -1.150313 
7 43  -0.028897 -1.146015 
7 44  0.038133 -1.138915 
7 45  0.103957 -1.129095 
7 46  0.168621 -1.116625 
7 47  0.232168 -1.101556 
7 48  0.294633 -1.083926 
7 49  0.356045 -1.063760 
7 50  0.416428 -1.041071 
7 51  0.475802 -1.015857 
7 52  0.534180 -0.988107 
7 53  0.591572 -0.957794 
7 54  0.647981 -0.924881 
7 55  0.703407 -0.889315 
7 56  0.757845 -0.851030 
7 57  0.811281 -0.809944 
7 58  0.863699 -0.765957 
7 59  0.915074 -0.718950 
7 60  0.965376 -0.668780 
7 61  1.014563 -0.615282 
7 62  1.062585 -0.558257 
7 63  1.109382 -0.497474 
7 64  1.154879 -0.432658 
7 65  1.198983 -0.363485 
7 66  1.241583 -0.289566 
7 67  1.282543 -0.210436 
7 68  1.321692 -0.125531 
7 69  1.358823 -0.034164 
7 70  1.393671 0.064520 
7 71  1.425902 0.171592 
7 72  1.455085 0.288422 
7 73  1.480649 0.416795 
7 74  1.501829 0.559099 
7 75  1.517558 0.718621 
7 76  1.526306 0.900050 
7 77  1.525767 1.110398 
7 78  1.512261 1.360786 
7 79  1.479426 1.670322 
7 80  1.414945 2.075794 
7 81  1.290360 2.661728 
7 82  1.015030 3.695932 
7 83  -0.140435 7.320570 
8 17  -3.899433 3.067740 
8 18  -3.075717 1.485916 
8 19  -2.672263 0.794440 
8 20  -2.397088 0.372821 
8 21  -2.182707 0.078209 
8 22  -2.003488 -0.143444 
8 23  -1.847124 -0.317982 
8 24  -1.706812 -0.459631 
8 25  -1.578416 -0.577004 
8 26  -1.459237 -0.675691 
8 27  -1.347423 -0.759508 
8 28  -1.241647 -0.831176 
8 29  -1.140929 -0.892694 
8 30  -1.044521 -0.945573 
8 31  -0.951843 -0.990981 
8 32  -0.862433 -1.029837 
8 33  -0.775921 -1.062875 
8 34  -0.692001 -1.090692 
8 35  -0.610422 -1.113774 
8 36  -0.530975 -1.132525 
8 37  -0.453480 -1.147279 
8 38  -0.377787 -1.158319 
8 39  -0.303766 -1.165880 
8 40  -0.231307 -1.170162 
8 41  -0.160312 -1.171333 
8 42  -0.090698 -1.169533 
8 43  -0.022392 -1.164881 
8 44  0.044669 -1.157475 
8 45  0.110538 -1.147396 
8 46  0.175265 -1.134708 
8 47  0.238889 -1.119461 
8 48  0.301445 -1.101691 
8 49  0.362962 -1.081421 
8 50  0.423465 -1.058664 
8 51  0.482973 -1.033417 
